epoch,class_id,class_name,precision,recall_sensitivity,specificity,f1
1,0,glioma,0.9638888888888889,0.9302949061662198,0.9878048780487805,0.946793997271487
1,1,meningioma,0.8323529411764706,0.9188311688311688,0.9496021220159151,0.8734567901234569
1,2,no_tumor,0.985,0.9728395061728395,0.9941972920696325,0.9788819875776398
1,3,pituitary,0.9587020648967551,0.9206798866855525,0.9871086556169429,0.9393063583815029
2,0,glioma,0.9705093833780161,0.9705093833780161,0.9896810506566605,0.9705093833780161
2,1,meningioma,0.9640287769784173,0.8701298701298701,0.9911582670203359,0.9146757679180887
2,2,no_tumor,0.9663461538461539,0.9925925925925926,0.9864603481624759,0.9792935444579781
2,3,pituitary,0.9301075268817204,0.9801699716713881,0.9760589318600368,0.9544827586206897
3,0,glioma,0.9787798408488063,0.9892761394101877,0.9924953095684803,0.9839999999999999
3,1,meningioma,0.9230769230769231,0.974025974025974,0.97789566755084,0.9478672985781991
3,2,no_tumor,0.9926108374384236,0.9950617283950617,0.9970986460348162,0.9938347718865598
3,3,pituitary,1.0,0.9376770538243626,1.0,0.9678362573099415
4,0,glioma,0.9865951742627346,0.9865951742627346,0.9953095684803002,0.9865951742627346
4,1,meningioma,0.9696969696969697,0.935064935064935,0.9920424403183024,0.9520661157024795
4,2,no_tumor,0.9900990099009901,0.9876543209876543,0.9961315280464217,0.9888751545117429
4,3,pituitary,0.9561643835616438,0.9886685552407932,0.9852670349907919,0.9721448467966574
5,0,glioma,0.9637305699481865,0.9973190348525469,0.9868667917448405,0.9802371541501975
5,1,meningioma,0.9463722397476341,0.974025974025974,0.9849690539345711,0.96
5,2,no_tumor,0.9950248756218906,0.9876543209876543,0.9980657640232108,0.9913258983890955
5,3,pituitary,1.0,0.9461756373937678,1.0,0.9723435225618632
6,0,glioma,0.9893333333333333,0.9946380697050938,0.9962476547842402,0.9919786096256684
6,1,meningioma,0.9743589743589743,0.987012987012987,0.9929266136162688,0.9806451612903225
6,2,no_tumor,0.9975186104218362,0.9925925925925926,0.9990328820116054,0.995049504950495
6,3,pituitary,0.997134670487106,0.9858356940509915,0.9990791896869244,0.9914529914529915
7,0,glioma,0.9893617021276596,0.9973190348525469,0.9962476547842402,0.9933244325767691
7,1,meningioma,0.9772727272727273,0.9772727272727273,0.9938107869142352,0.9772727272727273
7,2,no_tumor,1.0,0.9827160493827161,1.0,0.9912826899128269
7,3,pituitary,0.9831932773109243,0.9943342776203966,0.994475138121547,0.9887323943661971
8,0,glioma,0.9891304347826086,0.9758713136729222,0.9962476547842402,0.9824561403508771
8,1,meningioma,0.9440993788819876,0.987012987012987,0.9840848806366048,0.9650793650793651
8,2,no_tumor,0.9975186104218362,0.9925925925925926,0.9990328820116054,0.995049504950495
8,3,pituitary,0.9971098265895953,0.9773371104815864,0.9990791896869244,0.9871244635193133
9,0,glioma,0.9893048128342246,0.9919571045576407,0.9962476547842402,0.9906291834002677
9,1,meningioma,0.9771986970684039,0.974025974025974,0.9938107869142352,0.975609756097561
9,2,no_tumor,0.9950372208436724,0.9901234567901235,0.9980657640232108,0.9925742574257426
9,3,pituitary,0.9887323943661972,0.9943342776203966,0.996316758747698,0.9915254237288135
10,0,glioma,0.9738219895287958,0.9973190348525469,0.9906191369606003,0.9854304635761589
10,1,meningioma,0.9868852459016394,0.9772727272727273,0.9964633068081344,0.9820554649265907
10,2,no_tumor,0.9975247524752475,0.9950617283950617,0.9990328820116054,0.9962917181705809
10,3,pituitary,0.9942528735632183,0.9801699716713881,0.998158379373849,0.9871611982881597
11,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
11,1,meningioma,0.9933333333333333,0.9675324675324676,0.9982316534040672,0.9802631578947368
11,2,no_tumor,0.9950372208436724,0.9901234567901235,0.9980657640232108,0.9925742574257426
11,3,pituitary,0.9723756906077348,0.9971671388101983,0.990791896869245,0.9846153846153846
12,0,glioma,0.986737400530504,0.9973190348525469,0.9953095684803002,0.992
12,1,meningioma,0.95625,0.9935064935064936,0.9876215738284704,0.9745222929936306
12,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
12,3,pituitary,0.9970588235294118,0.9603399433427762,0.9990791896869244,0.9783549783549784
13,0,glioma,0.9946380697050938,0.9946380697050938,0.99812382739212,0.9946380697050938
13,1,meningioma,0.9803921568627451,0.974025974025974,0.9946949602122016,0.977198697068404
13,2,no_tumor,0.9877450980392157,0.9950617283950617,0.995164410058027,0.9913899138991389
13,3,pituitary,0.9886363636363636,0.9858356940509915,0.996316758747698,0.9872340425531915
14,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
14,1,meningioma,0.9868421052631579,0.974025974025974,0.9964633068081344,0.9803921568627451
14,2,no_tumor,0.9950617283950617,0.9950617283950617,0.9980657640232108,0.9950617283950617
14,3,pituitary,0.9859550561797753,0.9943342776203966,0.9953959484346224,0.9901269393511989
15,0,glioma,0.9893617021276596,0.9973190348525469,0.9962476547842402,0.9933244325767691
15,1,meningioma,0.9838187702265372,0.987012987012987,0.995579133510168,0.9854132901134521
15,2,no_tumor,0.9975186104218362,0.9925925925925926,0.9990328820116054,0.995049504950495
15,3,pituitary,0.9943019943019943,0.9886685552407932,0.998158379373849,0.9914772727272727
16,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
16,1,meningioma,0.9837133550488599,0.9805194805194806,0.995579133510168,0.9821138211382113
16,2,no_tumor,0.9975124378109452,0.9901234567901235,0.9990328820116054,0.9938042131350681
16,3,pituitary,0.9859154929577465,0.9915014164305949,0.9953959484346224,0.9887005649717514
17,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
17,1,meningioma,0.9900990099009901,0.974025974025974,0.9973474801061007,0.9819967266775778
17,2,no_tumor,1.0,0.9901234567901235,1.0,0.9950372208436724
17,3,pituitary,0.9722991689750693,0.9943342776203966,0.990791896869245,0.9831932773109244
18,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
18,1,meningioma,0.9839228295819936,0.9935064935064936,0.995579133510168,0.9886914378029079
18,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
18,3,pituitary,0.9971509971509972,0.9915014164305949,0.9990791896869244,0.9943181818181818
19,0,glioma,0.9866666666666667,0.9919571045576407,0.9953095684803002,0.9893048128342247
19,1,meningioma,0.9803921568627451,0.974025974025974,0.9946949602122016,0.977198697068404
19,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
19,3,pituitary,0.9859154929577465,0.9915014164305949,0.9953959484346224,0.9887005649717514
20,0,glioma,0.9919786096256684,0.9946380697050938,0.9971857410881801,0.9933065595716197
20,1,meningioma,0.9807073954983923,0.9902597402597403,0.9946949602122016,0.9854604200323102
20,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
20,3,pituitary,0.9914772727272727,0.9886685552407932,0.9972375690607734,0.9900709219858156
21,0,glioma,0.9867021276595744,0.9946380697050938,0.9953095684803002,0.9906542056074765
21,1,meningioma,0.9869281045751634,0.9805194805194806,0.9964633068081344,0.9837133550488599
21,2,no_tumor,1.0,0.9901234567901235,1.0,0.9950372208436724
21,3,pituitary,0.9859550561797753,0.9943342776203966,0.9953959484346224,0.9901269393511989
22,0,glioma,0.9867724867724867,1.0,0.9953095684803002,0.9933422103861518
22,1,meningioma,0.9966996699669967,0.9805194805194806,0.9991158267020336,0.9885433715220948
22,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
22,3,pituitary,0.9915492957746479,0.9971671388101983,0.9972375690607734,0.9943502824858758
23,0,glioma,0.9893333333333333,0.9946380697050938,0.9962476547842402,0.9919786096256684
23,1,meningioma,0.9775641025641025,0.9902597402597403,0.9938107869142352,0.9838709677419355
23,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
23,3,pituitary,0.9914285714285714,0.9830028328611898,0.9972375690607734,0.9871977240398293
24,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
24,1,meningioma,0.9902597402597403,0.9902597402597403,0.9973474801061007,0.9902597402597403
24,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
24,3,pituitary,0.9943342776203966,0.9943342776203966,0.998158379373849,0.9943342776203966
25,0,glioma,0.9920212765957447,1.0,0.9971857410881801,0.9959946595460614
25,1,meningioma,0.9967105263157895,0.9837662337662337,0.9991158267020336,0.9901960784313725
25,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
25,3,pituitary,0.9887640449438202,0.9971671388101983,0.996316758747698,0.9929478138222848
26,0,glioma,0.9893617021276596,0.9973190348525469,0.9962476547842402,0.9933244325767691
26,1,meningioma,0.9870967741935484,0.9935064935064936,0.9964633068081344,0.9902912621359222
26,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
26,3,pituitary,0.9942857142857143,0.9858356940509915,0.998158379373849,0.9900426742532005
27,0,glioma,0.9789473684210527,0.9973190348525469,0.9924953095684803,0.9880478087649401
27,1,meningioma,0.9901639344262295,0.9805194805194806,0.9973474801061007,0.9853181076672105
27,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
27,3,pituitary,0.9886039886039886,0.9830028328611898,0.996316758747698,0.9857954545454546
28,0,glioma,0.9815303430079155,0.9973190348525469,0.9934333958724203,0.9893617021276596
28,1,meningioma,0.9901960784313726,0.9837662337662337,0.9973474801061007,0.986970684039088
28,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
28,3,pituitary,0.9886363636363636,0.9858356940509915,0.996316758747698,0.9872340425531915
29,0,glioma,0.9893899204244032,1.0,0.9962476547842402,0.9946666666666667
29,1,meningioma,0.9934640522875817,0.987012987012987,0.9982316534040672,0.990228013029316
29,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
29,3,pituitary,0.9915014164305949,0.9915014164305949,0.9972375690607734,0.9915014164305949
30,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
30,1,meningioma,0.9901639344262295,0.9805194805194806,0.9973474801061007,0.9853181076672105
30,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
30,3,pituitary,0.9831932773109243,0.9943342776203966,0.994475138121547,0.9887323943661971
31,0,glioma,0.9763779527559056,0.9973190348525469,0.9915572232645403,0.9867374005305041
31,1,meningioma,0.9836601307189542,0.9772727272727273,0.995579133510168,0.9804560260586319
31,2,no_tumor,1.0,0.9901234567901235,1.0,0.9950372208436724
31,3,pituitary,0.9829059829059829,0.9773371104815864,0.994475138121547,0.9801136363636364
32,0,glioma,0.9841688654353562,1.0,0.9943714821763602,0.9920212765957447
32,1,meningioma,0.993421052631579,0.9805194805194806,0.9982316534040672,0.9869281045751634
32,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
32,3,pituitary,0.9858757062146892,0.9886685552407932,0.9953959484346224,0.9872701555869873
33,0,glioma,0.9893333333333333,0.9946380697050938,0.9962476547842402,0.9919786096256684
33,1,meningioma,0.9900990099009901,0.974025974025974,0.9973474801061007,0.9819967266775778
33,2,no_tumor,0.9975247524752475,0.9950617283950617,0.9990328820116054,0.9962917181705809
33,3,pituitary,0.9831932773109243,0.9943342776203966,0.994475138121547,0.9887323943661971
34,0,glioma,0.9893333333333333,0.9946380697050938,0.9962476547842402,0.9919786096256684
34,1,meningioma,0.987012987012987,0.987012987012987,0.9964633068081344,0.987012987012987
34,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
34,3,pituitary,0.9915014164305949,0.9915014164305949,0.9972375690607734,0.9915014164305949
35,0,glioma,0.986737400530504,0.9973190348525469,0.9953095684803002,0.992
35,1,meningioma,0.9868852459016394,0.9772727272727273,0.9964633068081344,0.9820554649265907
35,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
35,3,pituitary,0.9859154929577465,0.9915014164305949,0.9953959484346224,0.9887005649717514
36,0,glioma,0.9893048128342246,0.9919571045576407,0.9962476547842402,0.9906291834002677
36,1,meningioma,0.9773462783171522,0.9805194805194806,0.9938107869142352,0.9789303079416534
36,2,no_tumor,1.0,0.9851851851851852,1.0,0.9925373134328358
36,3,pituitary,0.9831932773109243,0.9943342776203966,0.994475138121547,0.9887323943661971
37,0,glioma,0.9893617021276596,0.9973190348525469,0.9962476547842402,0.9933244325767691
37,1,meningioma,0.9869281045751634,0.9805194805194806,0.9964633068081344,0.9837133550488599
37,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
37,3,pituitary,0.9887323943661972,0.9943342776203966,0.996316758747698,0.9915254237288135
38,0,glioma,0.9920212765957447,1.0,0.9971857410881801,0.9959946595460614
38,1,meningioma,0.9869281045751634,0.9805194805194806,0.9964633068081344,0.9837133550488599
38,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
38,3,pituitary,0.9858757062146892,0.9886685552407932,0.9953959484346224,0.9872701555869873
39,0,glioma,0.9946380697050938,0.9946380697050938,0.99812382739212,0.9946380697050938
39,1,meningioma,0.9837662337662337,0.9837662337662337,0.995579133510168,0.9837662337662337
39,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
39,3,pituitary,0.9830985915492958,0.9886685552407932,0.994475138121547,0.9858757062146892
40,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
40,1,meningioma,0.9901639344262295,0.9805194805194806,0.9973474801061007,0.9853181076672105
40,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
40,3,pituitary,0.9859550561797753,0.9943342776203966,0.9953959484346224,0.9901269393511989
41,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
41,1,meningioma,0.9901639344262295,0.9805194805194806,0.9973474801061007,0.9853181076672105
41,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
41,3,pituitary,0.9859550561797753,0.9943342776203966,0.9953959484346224,0.9901269393511989
42,0,glioma,0.9893899204244032,1.0,0.9962476547842402,0.9946666666666667
42,1,meningioma,0.993421052631579,0.9805194805194806,0.9982316534040672,0.9869281045751634
42,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
42,3,pituitary,0.9887323943661972,0.9943342776203966,0.996316758747698,0.9915254237288135
43,0,glioma,0.9946524064171123,0.9973190348525469,0.99812382739212,0.9959839357429718
43,1,meningioma,0.9901960784313726,0.9837662337662337,0.9973474801061007,0.986970684039088
43,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
43,3,pituitary,0.9859550561797753,0.9943342776203966,0.9953959484346224,0.9901269393511989
44,0,glioma,0.9946524064171123,0.9973190348525469,0.99812382739212,0.9959839357429718
44,1,meningioma,0.9901960784313726,0.9837662337662337,0.9973474801061007,0.986970684039088
44,2,no_tumor,1.0,0.9925925925925926,1.0,0.996282527881041
44,3,pituitary,0.9831932773109243,0.9943342776203966,0.994475138121547,0.9887323943661971
45,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
45,1,meningioma,0.987012987012987,0.987012987012987,0.9964633068081344,0.987012987012987
45,2,no_tumor,0.9975247524752475,0.9950617283950617,0.9990328820116054,0.9962917181705809
45,3,pituitary,0.9943181818181818,0.9915014164305949,0.998158379373849,0.9929078014184397
46,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
46,1,meningioma,0.9901639344262295,0.9805194805194806,0.9973474801061007,0.9853181076672105
46,2,no_tumor,1.0,0.9950617283950617,1.0,0.9975247524752474
46,3,pituitary,0.9859550561797753,0.9943342776203966,0.9953959484346224,0.9901269393511989
47,0,glioma,0.9893617021276596,0.9973190348525469,0.9962476547842402,0.9933244325767691
47,1,meningioma,0.9869281045751634,0.9805194805194806,0.9964633068081344,0.9837133550488599
47,2,no_tumor,1.0,0.9901234567901235,1.0,0.9950372208436724
47,3,pituitary,0.9831460674157303,0.9915014164305949,0.994475138121547,0.9873060648801127
48,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
48,1,meningioma,0.9869281045751634,0.9805194805194806,0.9964633068081344,0.9837133550488599
48,2,no_tumor,1.0,0.9876543209876543,1.0,0.9937888198757764
48,3,pituitary,0.9804469273743017,0.9943342776203966,0.9935543278084714,0.9873417721518989
49,0,glioma,0.9946524064171123,0.9973190348525469,0.99812382739212,0.9959839357429718
49,1,meningioma,0.9869706840390879,0.9837662337662337,0.9964633068081344,0.9853658536585367
49,2,no_tumor,1.0,0.9851851851851852,1.0,0.9925373134328358
49,3,pituitary,0.9777158774373259,0.9943342776203966,0.992633517495396,0.9859550561797753
50,0,glioma,0.992,0.9973190348525469,0.9971857410881801,0.9946524064171123
